,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"224","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,41373,1027,1399
"225","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,42772,0
"226","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,42772,1027,1399
"227","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,44171,1027,1399
"228","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,45570,0
"229","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,45570,1027,1399
"230","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,46969,1027,1399
"231","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,48368,0
"232","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,48368,1027,1399
"233","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,49767,1027,1399
"234","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,51166,0
"235","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,51166,1027,1399
"236","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,52565,1027,1399
"237","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,53964,0
"238","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,53964,1027,1399
"239","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,55363,1027,1399
"240","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,56762,0
"241","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,56762,1027,2798
"242","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,59560,0
"243","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,59560,1027,1399
"244","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,60959,0
"245","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,60959,1027,1399
"246","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,62358,1027,1399
"247","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,63757,0
"248","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,63757,1027,1399
"249","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,65156,1027,1436
"250","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,66592,0
"251","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,66592,1027,1362
"252","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,67954,0
"253","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,67954,1027,2872
"254","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,70826,0
"255","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,70826,1027,1325
"256","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,72151,0
"257","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,72151,1027,1399
"258","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,73550,0
"259","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,73550,1027,2798
"260","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,76348,0
"261","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,76348,1027,1399
